,name,link,site,max_salary,min_salary,currency
55,Главный маркетолог-аналитик,https://ekaterinburg.hh.ru/vacancy/54129528?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA,https://ekaterinburg.hh.ru/search/vacancy/,,,
56,Бизнес-аналитик,https://ekaterinburg.hh.ru/vacancy/55465514?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA,https://ekaterinburg.hh.ru/search/vacancy/,,,
57,Маркетолог-аналитик,https://ekaterinburg.hh.ru/vacancy/54445195?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA,https://ekaterinburg.hh.ru/search/vacancy/,,63250.0,руб.
58,Бизнес-аналитик,https://ekaterinburg.hh.ru/vacancy/54965908?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA,https://ekaterinburg.hh.ru/search/vacancy/,,,
59,Главный аналитик отдела продаж,https://ekaterinburg.hh.ru/vacancy/55085830?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA,https://ekaterinburg.hh.ru/search/vacancy/,,40800.0,руб.
60,Системный аналитик,https://ekaterinburg.hh.ru/vacancy/53943790?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA,https://ekaterinburg.hh.ru/search/vacancy/,135000.0,110000.0,руб.
61,Системный аналитик,https://ekaterinburg.hh.ru/vacancy/49454824?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA,https://ekaterinburg.hh.ru/search/vacancy/,,,
62,Старший специалист по планированию и аналитике продаж,https://ekaterinburg.hh.ru/vacancy/54951328?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA,https://ekaterinburg.hh.ru/search/vacancy/,,,
63,Маркетолог-аналитик,https://ekaterinburg.hh.ru/vacancy/55402523?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA,https://ekaterinburg.hh.ru/search/vacancy/,,,
64,Аналитик,https://ekaterinburg.hh.ru/vacancy/54827345?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA,https://ekaterinburg.hh.ru/search/vacancy/,,,
65,Бизнес-аналитик,https://ekaterinburg.hh.ru/vacancy/55112096?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA,https://ekaterinburg.hh.ru/search/vacancy/,,120000.0,руб.
